,textID,text,sentiment,unclean_text_len,unclean_text_word_count
32,1c31703aef,consolation got bmi tested hahaha says obesed well much unhappy minutes,0,126,26
33,2dc51711bc,funny cute kids,2,31,5
34,d21ab5855b,ahhh slept game gonna try best watch tomorrow though hope play army,1,102,20
35,4f5267ad70,thats end tears fears vs eric prydz dj hero http bit ly 2hpbg4,1,84,14
36,2724775d6b,born raised nyc living texas past years still miss ny,0,82,18
37,1cbc812ece,case wonder really busy today coming adding tons new blogs updates stay tuned,1,123,24
38,4b61dffbeb,soooooo sleeeeepy last day school today sniffle,0,72,10
39,2863f435bd,little happy wine jeje ok sm free time cares jaja love day,2,89,20
40,d93afa85cf,car happy big big dent boot hoping theyre going write crossing fingers waiting,1,107,20
41,fab6b7d16c,im avid fan magazine love magazines,2,57,12
42,2e7082d1c8,mayday,1,8,1
43,684081e4e7,ratt rocked nashville tonite one thing sucked encore like still fun show pearcy hott bad boy look,1,138,25
44,c77717b103,love available 5pm dear would love help convert vids 12,2,102,19
45,a9d499e123,girl hair salon asked shall trim eyebrows old feel,1,84,18
46,ddf296dffa,egh blah boooooooooooo dunno wanna go work hangovers suckkkkkk im drunk mess,0,89,16
47,c3924dc9e4,visiting friendster facebook,1,36,5
48,3d9d4b0b55,donbt like peel prawns also dont like going shopping running money crawling round car looking,0,126,24
49,3fcea4debc,case got new one last week thrilled mine,0,77,17
50,a3ae670885,check http twittersucks com connect tweeple hate twitter,1,98,14
51,15d5f3a41b,also bored school third freelesson freistunde,1,60,10
52,3c4a21b2cb,hm us guess,1,28,6
53,11084dac09,u dissappointed past days,0,56,10
54,d8ba2a99a9,romance zero funny,2,22,4
55,e77fd45003,rather early run morning runner,1,55,11
56,b159318d76,bah coworker ran work late bag smacked knee really hurts,0,87,18
57,6086b1f016,back later http plurk com p rp3k7,1,45,5
58,703afdc44b,aw torn ace hearts hunchback,0,34,6
59,90f3d2b572,fun speaking,1,30,6
60,52483f7da8,lost friends alone sleepy wanna go home,0,60,12
61,a4b0888da6,haha yes,1,9,2
62,2a9765b7f9,give easily,0,19,5
63,90a2cdb657,better way spoil mum let kick back relax nice meal bottle favorite wine wine red,2,135,30
64,98f25bc596,mannnn got iphone im jealous http bit ly ngnar,0,66,8
65,23e1f7dca4,photoshoot,1,19,4
66,95e12b1cb1,awesome worked good friend,2,70,12
67,c34feef039,yay playing show tonight boo gonna soggy work right playing,1,85,16
68,fa2654e730,chilliin,2,8,1
69,187494c25b,know agent let know,1,39,9
70,4213627c3c,still smell smoke kitchenfire,1,36,6
71,a4e00d4d26,celtics lakers rematch sounds better think lol,2,60,9
72,04e2e334de,anyone extra keane ticket promise buy drink take rad pics fb blog flickr etc,1,115,25
73,0c4aa867d0,ride one catch one summer til pop open one,1,81,18
74,a6c61eac26,good gor juz yea kno asked yesterday tha hospital talked u said,1,120,27
75,94bd67443c,ok popped say hi check things probably head guttah later tonight,1,125,27
76,35f393a245,wow really missin fam ily today baddd,0,50,9
77,b2c9f115b1,sources say,1,18,4
78,0a61cbf4b5,sooo tired,0,15,4
79,ee9ec7a5a4,hey change twitter account even tell,1,69,12
80,bbbc46889b,thank yyyyyyyyyoooooooooouuuuu,2,32,2
81,58d382e07a,lucky kid wanna see loserville pity im oz,2,57,10
82,cb4d439ebc,fell asleep waiting ride,1,32,6
83,64ed512788,sick flu like thing,0,28,6
84,4cd390c007,still reply simfinger problem irape parody video get response sorry guys,0,108,20
85,3d2fcd78c8,happy star wars day everyone enjoy holiday uk,2,56,10
86,0c0563423e,miles essex give plenty warning arrive time get least one free beers,1,124,27
87,cd0d522bb1,snoring annoying n keeps sleeping like right lol honestly wud miss eva left love,1,131,28
88,bffa3ddd61,miss bby wish going tomorrow make good,0,68,14
89,9339ee8e0b,well im working quite ready post publicly still beta testing cool new script coded,2,120,23
90,a76f9cf8ce,sweeeeet san fran awesome love,2,50,9
91,4ce121e2ad,mounce yes lasts way past bedtime,1,45,9
92,a3de81e1ba,hi joined twitter,1,52,9
93,55bacda5eb,waiting sleeping pills kick gonna tired work tomorrow,0,75,14
94,b63ed6da62,eating ice cream getting ready graduation,1,55,9
95,4c41a35a2a,happy mothers day mums,2,43,9
96,61a8e11e8a,casey gone piddled little carpet prolly freaked cause new get back,0,125,23
97,447dc22c81,hemp cloth marvelous unfortunately,0,45,7
98,3408db03a3,gonna read story bout adam lambert online bed nighty night,1,66,12
99,92e1b6846e,saw none 3d baddie best,2,47,11
100,2207d982bc,4am im beach pretty,2,32,7
101,15e01e1749,certainly cheers huh,1,32,5
102,ebcdf07ac5,week post horrible traumatic jumping cholla accident cholla next dirty trick pieces starting emerge hand ouch,0,136,19
103,fd9fb4f1ad,realy wanted go cause nice everybodys busy,0,62,13
104,6b018d3d2d,awesome ocean beach know way yourbiggestfan al big fan rs,2,123,23
105,327a009a7d,least get watch time let go pens,1,50,11
106,d0d3c6f298,cool wear black time go,1,49,12
107,40649553ef,haha know work blip apart obvious thanks reblipping song nice day,2,112,23
108,561b44a42f,safe trip joshy poo knock dead speech,2,71,12
109,a05aea73d7,woof wish allowed go,2,33,8
110,9c4817f73b,u friendster add email adress add loco crime 1st com add leave comment,1,126,18
111,f0c1601d8b,tickets,1,21,2
112,d421fbd332,thank afrin nasal spray also got giant teacup tonight,2,65,12
113,99b7ec4b0b,acsm unfathomable think one one kept comfort bedrooms yes,1,126,25
114,a655fbb5eb,aww love daddy works days week almost day still tries go sf us,2,102,25
115,43e9a93104,many tests todayyy feel confident anyy,0,57,10
116,401869d615,graduation done im little sad anyone want hang,0,64,12
117,9843c4688e,hahaa awesomee,2,22,4
118,87fbf14655,holy smokes star trek freaking awesomeeeee,2,47,7
119,22d1806fa0,hate fallout keeps making jump also low health money ammo food worry get,1,120,24
120,9d2cffd953,itunes lost songs,1,54,13
121,f78761f7ec,gloomy weather sun must tired come play heading victoria gardens impulse buys haha,1,134,25
122,66057d58c2,looking forward next week maths geography english french exams totalling hours,0,95,15
123,af90ad5989,poor get outside sleep garden sun good forget suncream,0,102,19
124,f0460d611d,well,0,8,2
125,6649f3558c,prob hun,2,15,4
126,24532ab83c,dads watching mtv going sims2 minutee,1,61,13
127,8e1583cb08,absolutely,1,11,1
128,4ea61dbc7a,matter chickadee,1,29,4
129,94f67cfa6d,hey mia totally adore music cd,2,63,12
130,29dfaf5e3b,shopping cleaning bmfing webcam chatting nephews nothing spesh good bank holiday monday nonetheless,2,115,16
131,974b35f889,need ask something lmao love,2,54,12
132,b495300bbf,splinters look painful heroic saving mr pickle,0,85,13
133,504539e6ec,sad,0,17,4
134,6903cb08f2,nice see tweeting sunday 10th may celebrating mother day today nice yer mom,2,117,22
135,1996048e7a,decided trans frm relaxed natural hair wish whole head looked like roots age instant gratification,2,127,23
136,c6d0c7676c,namaskar namaste r marathi people say namaskar marathi word naaaah,1,111,20
137,ef74bab7f3,congrats cuss like matter minutes know reward,1,104,21
138,f3cf8ec01b,humous dorito oh yes,1,30,5
139,cb1b0d191d,missed awesome weather movie,0,59,11
140,3e67a75303,today going normal day hope group pilots large airline come last night much drink,1,135,31
141,997a62f83f,kids terrible good evans call childline,0,67,13
142,7e1757d4f0,unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one days,0,136,24
143,254546cd2c,sad actually google term sucks tho,0,72,14
144,7e4ed52c4a,hate fighting,0,13,2
145,5069ae7a15,watched didnt want win put good fight lol,1,80,17
146,48cdcd5f28,car warmed sprite tastes like sore throat,0,41,6
147,1b1b02af59,came 11th cross country beat dumbo,1,46,9
148,ae71041e21,candle wax enjoyable,2,29,5
149,11c10e3fc5,unassuming unpretentious suppose endearing relate,2,122,19
150,19526ac03e,tomorrow valeria lunch going get hair done im arraving late got cousins babtizm whatever spell,1,124,22
151,960bbdc0c3,goooooddd morning tweets week three workout mention got new glasses yesterday,2,101,17
152,fd285fe74a,hate computer much,0,37,8
153,a5a1c996c0,fine going big walk today miles,2,51,12
154,20ec7c7c32,want red cruisers like ones lmfao,0,58,11
155,b948984e8d,mmmmmmmm morning,1,31,6
156,6824c44c21,neither,1,11,2
157,02d140362f,hours work sunday boo find time two hour lunchbreak though yeah,1,104,22
158,5f93cc70ff,bugger forgot still washing machine,0,49,9
159,4e6a5c0034,laurie sending love blessings healing thoughts family peace,2,73,12
160,e4e9b8713a,back hurts really bad,0,26,4
161,08975f62a8,ah yes know feeling,1,28,6
162,4a1ce7dc3b,night cookers dad,1,32,7
163,328a0e76bd,modem offline week god bless 3g network tim left may schedule brutal,0,123,23
164,abbd0db2a5,nope coquitlam,1,23,5
165,940eb93dd5,parent teacher thing yesterday boring going skl saturday lol,0,79,13
166,c78bf59e67,lichfield tweetup sounds like fun hope see everyone else,2,79,13
167,e73425ffdc,big booming thunder storm almost maybe go home early ah probably,1,94,16
168,e56eeb4968,bevvies 2day twn great day,2,45,9
169,7162d447ab,first night myers w lydia actually excited summer,2,97,17
170,f3d95b57b1,good morning,2,13,2
171,5e4eac2b2e,best show ever,2,24,5
172,bc02870b7d,url previous post timer job http bit ly a4fdb removed space messed url es,0,110,18
173,80e45e833f,think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha l,1,120,23
174,f29df52d91,want know auditions mander text reply please,1,70,12
175,079e4e3472,even nooooo secret namerebecca please,0,48,8
176,557e676fe4,miss neice wait see bad n grown lol,0,61,14
177,8d09044937,need get computer fixed,1,31,7
178,9d3a1e0269,really hopes car illness terminal,0,49,8
179,7ff2dbbe25,cool people want find following today english guess english tweet,1,105,20
180,5a254fbb98,sir woulda put honey,1,51,9
181,417176c08e,watched x men origins wolverine totally loved haha,2,62,10
182,2bf5c7dba7,voted u personal myspace keep talking fakes u helped thru hrdest time life x,2,127,28
183,8407ac30b0,sad missed guys last night,0,43,9
184,6ed347b1a5,finally got call marriage counseling days late,1,58,10
185,97625460cf,ok,1,8,2
186,32e4ffe225,420 baby,1,14,3
187,24ee55f264,today last day high school ended going home sick stupid dead rats,0,97,21
188,82b75647fd,impromptu pool party except know swim get,1,89,18
189,a0a306868a,lost tooth 2day whilst eating gum oww,0,48,9
190,9b11b686ec,happy year,2,16,4
191,7e7bc11e45,oh hella forgot say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol,2,129,21
192,28dbada620,phew make note case anyone else runs issuei 12,1,73,14
193,3e880ec28d,vote every day,0,50,11
194,38271074d1,starving diet killing eat 8pm,0,64,13
195,ef12a3d183,talk,1,14,4
196,f0db54f5bf,im soo bored im deffo missing music channels,0,49,8
197,e651d415c6,nite nite bday girl fun concert,2,41,8
198,931a866d3f,nicotine replacement patch hours far good sleep hours getting bit twitchy,1,132,27
199,7a718b23ef,sanderson twatter lately either get replies turn,1,91,16
200,a6fccce9db,sleeping lost voice couple day ago,0,52,10
201,c017d0c221,http twitpic com 66xlm hate parked car gets hit,0,60,9
202,287755c5dd,heard fall waiting,1,39,7
203,58c435d2cf,nightmares huggles,1,28,3
204,e6ee6826df,creeper feel disappointed cyberstalking skills internet privacy,0,118,21
205,01b2476dd7,going bed late headache,0,41,9
206,e02cf4af4c,happy mother day moms,2,43,8
207,2dc0dc0d5d,grabbing coffee making mom breakfast,1,47,7
208,1b13ed8b4b,im thinking im going fun tonight maybe changes coming,2,82,14
209,b6b35af246,thanks major chop,1,31,5
210,375e74d063,haha know cant handle fame thank,2,53,11
211,4700be3234,got updated ipod,1,31,7
212,e5c6a6bb5a,yes sober hahaha tanghaling tapat dude haha wild knowwww plan plan go us,2,101,18
213,4f84bea1cc,never miss icarly son huge crush miranda,2,58,13
214,4c73ad2888,saw james carville store today head really bald,1,67,13
215,2dcd8766a8,yellow http blip fm 5z05g,1,36,4
216,234093bef1,means going come back vancouver way hahah,1,91,18
217,ca832cad51,feeling smooth like chrome,2,26,4
218,a8734230b6,ew traffic,0,10,2
219,0b5c2a7d7c,downloading songs trying sneak lil homework main priority songs lol,1,109,20
220,e70d294d95,ra ra alone need coffee,1,44,7
221,f84b89a828,sounds like,1,15,3
222,ee37bea884,bad day day realize mess put one happiest days life,1,107,22
223,242d92151a,walking class hate bike especially mine,0,62,10
224,f3a77c2b5e,nesmith,1,8,1
225,1d6411e9dd,failed inspection know pass wo oven wo anti tip bracket sold w oven worse taxes,0,135,23
226,151c10cc39,jonas brothers live party rocking hard love song,2,88,14
227,7b1927e748,happy mother day mothers world,2,51,10
228,9a6f4d05d5,35mins 1hr 20mins google wave demo looks lot fun would love test though http bit ly wnmsc,2,123,21
229,0cb4504f2c,sleepy tabz heading bed fun night listened next episode joss,2,87,15
230,ae21c1ac38,exception short dude larenz fineass tate yum,1,55,10
231,8f3e73cf09,screw reviews thought wolverine awesome enough dominic monaghan liking,2,98,16
232,c7489a23fa,followed us recently please dont offended followed back hit limit hopefully free soon,2,135,24
233,148ac38bea,yes work,1,21,6
234,641555ac70,hmmm maybe meant eluded something brand new know media,1,101,19
235,4bda359cbb,done spa meeting vic late lunch,1,54,11
236,ed084a1fa7,happy monday going tavares today hope everyone blessed day,2,83,15
237,1af124bc1c,always wanted go oz,1,31,7
238,e98226e842,thx,1,4,1
239,85ec413e54,http twitpic com 4jaz5 cool luv,2,42,5
240,7df7221145,need represent blackberries,2,63,10
241,0ab8f9c4bc,okay dedicating 300th tweet fact going apple store huge crack glass screen,1,134,27
242,06cad97de6,could ever actually allowed stay,1,67,14
243,37f6bd5ac5,let know turns,1,33,7
244,9bef0d7135,sass detect long back sass haha,1,61,13
245,7436ec1a2c,yeah thinking ahaha,2,38,7
246,cf10e9309a,sports bar shatranjanpoli rest ph sports bar andheri w dont know whether helps google ki jai ho,1,124,21
247,ce69e99e71,sleeping accepts appology,0,50,9
248,6402e14398,wolverine boss seriously,0,72,13
249,914c40995f,live pain bring,1,29,7
250,258f37341e,okay back later,1,38,8
251,77ba0fee75,powerblog powerblog challenge keep talking newbie follower,1,92,14
252,96a4ce0d47,almost died laptop screen set brightness reinstalled windows vista got headache insanedefaults,2,124,19
253,5bcc50c275,waiting tish get got drive moms crv pick duckie first time,1,105,23
254,c5645758be,trying decide movie friends going well lol p bible study 2nite means day cake buy,0,135,26
255,7e3c091fc2,going shower want smell school tomorrow,1,64,12
256,869bb56451,sigh know,1,25,5
257,09ad12cc5c,discovered cause bug new netplayer build publishing bug fix hopefully new beta tomorrow,2,111,20
258,251aa82551,free twitter tools get followers http short 511q http jijr com hulz http short 511r http 2ve org xpg0,1,137,14
259,8e0a0ffbe1,got home work chugging big bottle apple juice,1,77,15
260,799f65f193,yes please dont go die cry normally leads small animals getting harmed,0,107,20
261,d06582e26d,writing report cards soooo tired amazing day check fb soon,2,83,16
262,dbe1d16b29,big brother done,1,55,11
263,7809dd704a,good news finally finished easactive workout paused hours bad news resistance band torn,1,120,21
264,97334eb7c0,well good morning wonderful day neighborhood thanks following another morning,2,132,23
265,e1546f901a,ftsk mercy mercedes amazing tonight always,2,56,9
266,2ece7f3810,hope ok,2,16,4
267,ba309a37d1,school done already hurts much seeing every day,2,76,14
268,84ca20505a,waited listening wind blowing tumbleweed none old enough know someone says crackerack,1,137,24
269,de8c4c410d,hell yeah,1,11,2
270,e33d5ceea2,shirt dinner need ask actually ville,1,78,16
271,394881b7d0,know,1,9,2
272,52d8be9124,huh smelly noooo love alex vixon,1,52,10
273,dabe649ee3,went party last night dindin showed matching outfits great minds think alike anyway happy birthday ate lara,2,131,25
274,2a5bb8d827,happy b day woke side earth wishes bit late,2,72,15
275,dbbbbe6059,thank teaching values better person day love much best mum world,2,117,25
276,894e188d01,happy mothers day,2,19,3
277,a91ca2ffae,laughs glad self confidence wonderful trait applaud extra loud okay,2,120,22
278,89d5b3f0b5,thanks,2,8,1
279,fe0abe1754,twittering days,1,24,4
280,1b6380b1b3,getting ready week nice today stuck inside working,2,70,13
281,02c004bc2d,tres depressed,0,19,4
282,b4d5f1e13e,felt like behaved like son ate compensate pigged home roasted sugar almonds painful tum threw still feel sick,0,137,23
283,80481307d5,happy mothers day people love mom lot still,2,51,11
284,05a0e60f99,sorry hear,0,24,5
285,e3cc598980,awesome dude yay surprise celebrities got meet years ago soooo friendly,2,110,20
286,a2cf6cc397,makes happy hear girl talk tweet nba could give nuggets love,2,109,22
287,53e78f3f89,getting hang twitter,1,31,6
288,ba83f744d8,know neck jacked forced pay parking bc turn head parallel park free spaces,0,136,28
289,2dd0cddb70,want back http bit ly pp1wz,1,40,6
290,e3a1b65ef3,going miss roomie longer roomies starting tomorrow,0,74,14
291,7ae37ef593,bathing two little angels keyla janice,1,49,8
292,73fa7068a2,yep finished chocked full spelling grammatical errors cleaning tomorrow popping hehe,0,120,20
293,f5b15be6f6,hahahha lol true always remember bd never remember date even day,1,100,21
294,68bda81bb9,family hanging,1,32,5
295,59e77db781,watching ellen love dishes tanning gorgeous,2,82,13
296,e3731b6ce8,goin hun worried,0,43,8
297,b09362ee8e,im bannished work till,0,44,10
298,c4f9792d55,morning get see let know right going go see wolverine,1,90,19
299,20d4300a14,red top tabloids build em knock em,1,45,9
300,7b69f49c42,tonight party w girls minus vita,2,41,8
301,519a5d3be7,made sad thought jumping joy,1,64,14
302,aa97eca66f,simple,1,14,3
303,d3230b7cfd,pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven,1,137,29
304,294df18b9f,saw play amazing,2,42,10
305,e5e2d9d1f3,glad break twitter virginity two,2,56,12
306,b7a9ba95d0,dinner fam missed,0,41,8
307,6943d0f480,live want better bound bad eggs though soon learn,1,103,21
308,9e047ed52a,hell yeah kellynn got twitter finally,1,41,7
309,a54d3c2825,know worth shot though,2,38,8
310,5b578d0b4c,opened facebook account little confused really get twitter seems much better,2,102,18
311,c4ab28566e,ship stuck,0,16,3
312,162a2510d2,dustbin baby cannot wait x,2,39,8
313,c25871ec9e,going dwell happened passed shame supportive life x,0,107,22
314,fdb77c3752,words,1,8,2
315,ddd4dd7be4,looks like office tv get mlb network looks like mlbn televising det bal game today wieters,1,130,24
316,d2af698d65,home empty handed comics found today shall indulge cupcakes magnolia bakery,1,100,17
317,1594011c6d,laying bed til workkk oh life definitely pinched nerve,0,68,12
318,bb61a7094b,today busy day exhausting,0,32,6
319,454ea2153b,going go sunday got much going weekend,1,77,17
320,b5dd587dd2,sorry hear ur flight got cancelled blows,0,53,9
321,e5160216a5,ohh tooth hurts ohh im sad hurts,0,47,11
322,ea3320d696,get distracted like thank new followers taking trouble follow others feelin love,2,134,26
323,5680a0b488,u think u bills ha ii finished paying mine broke,0,72,14
324,ed6c2e4824,sure say big jst saw pics u ur last bday looked pretty miss,1,114,27
325,a8f2acd515,sore throat planning tet outing marwell though good times,1,67,10
326,e9f7f78cfa,mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutus,2,134,28
327,4c71b5fb91,days without sleep migraine thought life postr01 meant relaxing,0,88,17
328,be8544ffb1,,1,7,1
329,0404648e1c,sucks,0,10,1
330,e136c0f2af,whens sway sway winner announced,1,38,6
331,032e865dc7,k check,1,23,5
332,d723ea3299,pretty well wide awake,2,37,7
333,3d208b8e59,want wake early get coffee tomorrow today going busyy day keep writing booo whoo,1,129,27
334,f1f5e8edfa,miss daddy mommy,0,22,5
335,51f4502988,dog officially depressed brother dogs gone want go outside play half heartedly,0,134,24
336,728c29215f,realized forward text msgs iphone,1,62,12
337,c9091836ce,frist post find new car parents exciting,2,64,13
338,9668542b2a,argh noo missed killers wossy sucks missed brandon total failure anyone know repeated must investigate,0,137,22
339,cd5d081760,seriously bored without anyone talk tired enough sleep,0,75,13
340,061eb4c0de,lost please help find good home,0,44,10
341,c20cb786c4,peter gordon morning go pieces wanna hide go pieces almost die ever http blip fm 5yk38,1,136,28
342,7733e8541a,ok got bit bad back lifting drum hardware car downer,0,92,20
343,58eda20efc,lmao smh one threw,1,37,7
344,2f5c77dfb3,oh nice going,2,15,3
345,4646623c1d,getting ready work working weekend,1,48,8
346,a97db072ed,gonna celebrate mothers day family gonna start partying tonite,2,79,13
347,f3117413cc,agree,2,18,4
348,59cb0c3a14,computers hopeless everything else,0,52,9
349,322b61740c,degrees gross skies thunderstorms perfect match mood lol,2,75,11
350,7179c215a7,2nd aww thanks,2,16,3
351,1f581d48bc,sorry rb ps3,0,26,7
352,c42982a22d,saw amazing heeels big,1,43,9
353,9191e574bb,stuck finger throat bunch bumps tongue throat,0,91,20
354,f4e428e4b3,dang last url went http blip fm 7aigm,0,48,7
355,1ee0b44db0,ohoh missed ur tweets im gonna stay awake night see announcement time difference,0,117,22
356,4095d52d2d,damnit sucks one ones thought drag back lol,0,78,16
357,4491189459,boss moving nyc,1,29,6
358,e8be898842,sooo crazy fever,0,33,7
359,9b388b2cd9,spending saturday morning taking notes research essay stupid recalled book using fair,0,129,22
360,3d1238a2f0,think need new friends,1,31,7
361,98ff5a440e,looking forward gig ireland see ya,1,57,10
362,b94aaf845e,please review sunehre ad placement http tinyurl com oow6mk,2,61,6
363,95d0ad2e17,aww loooove,2,19,4
364,b8e58e1a21,hungry twitter want food,1,37,7
365,39923bb286,awesome lucky,2,17,3
366,b751f39570,yea know tell everything ps send direct messages telling haha,1,91,15
367,c1b915d1d5,haha im jewish love one,2,32,7
368,f38f53fbde,great time beer garden wit boyos think sun got bit though feel bit ill,1,114,28
369,c2a17084e9,l days matt fun weekend,0,45,10
370,3848e03ac5,u really think maybe ur right lol btw phone u using think u told b4 might app u,1,120,24
371,356ad29589,feel pain mine way,0,39,9
372,3696d1db81,comes home two days,1,22,5
373,81e6c0ac2d,sadly come one,0,37,7
374,12cfc10225,cant wait see boy tomorrow,2,32,7
375,9f51c335d0,ehhh check dentist app next week though getting molar pulled root canal,1,101,19
376,81e29d1a0b,aww miss driving elmwood,0,32,6
377,3773846bc3,omg wango tango awsome love baby taking,2,61,13
378,6f3818a39e,version live interactive trans siberian ticket planner launched http tinyurl com c5ljwm cool,2,119,16
379,2e6ee964a4,30439 really wish could go,2,32,7
380,759b899f29,yeah real hard know get smile,1,58,12
381,12da1098a2,december good next big birthday flys sure,0,96,21
382,38e44e0f32,made night way funny,2,43,8
383,b534d768ca,woo cavs happy mother day,2,30,5
384,c422db675c,make face get home mom watching soaps,1,70,15
385,a34bf825fc,go work,1,25,7
386,dbc45af041,believe went got boba without,1,50,10
387,018c0cf1f9,today,1,36,8
388,7e820f005a,thanks warm welcome make plans arrival time air,2,99,19
389,e839d6a472,days counting,1,20,4
390,a210eda5c9,sorry friends swamped deadlines right family visiting boot charades,0,111,20
391,47990d2312,brainfreeze,1,11,1
392,340600d483,discovered shortcoming gravity use twitpic integrated subtract pic url character limit,1,136,22
393,5fcf7bd80c,sunburn peeling,0,22,4
394,9e964bdfda,perky purple nail polish perky chipped,1,56,10
395,3d635198c2,http twitpic com 4sx96 put camera smokers pit longer vandalize door without caught,1,131,21
396,bba9d463f4,laying alone since mook soo comfy f n play pen thought ill first one cuddle,0,130,27
397,54a62c239a,hate dentist,0,18,4
398,ebc8565a98,nothing aimed joining sorry,0,46,7
399,cf888f0df3,taking twitter break cell dying,0,41,8
400,0456aab9bb,qood morninq,1,13,2
401,85b2dbf969,writing english original writing storyyyyy listening little respect erasure aaaaaah,1,103,15
402,30dd327860,needs followers,1,20,3
403,4c8d61cfd0,wish could get nails done stupid job,0,44,10
404,ef200df027,little wormy labyrinth sadly passed away today ok hes still around happy ghost form aww http twitpic com 67aim,1,138,23
405,bd0fa6cebd,pants idea could new attempt world wide attract business back airlines,1,98,17
406,2c80b2043e,good one,2,16,4
407,1ecbc820d1,yep infact popular miss india talented film actress lot,2,82,15
408,02e569bee0,dosen want go work tomorrow,0,35,7
409,f6f3b8b7a4,daniel dsds voice great,2,40,8
410,41f4eb92b9,wish birthday massacre would come australia think said thinking tho http tinyurl com p6lfch,1,134,20
411,7a341d71fe,hoping go red lobster weekend,1,44,9
412,0ddd346323,x atl u mean jack barakat wow u ever gone house hehe mean ur ssoo lucky address,2,115,24
413,38a6cb940a,sure hope becomes afternoon,2,49,10
414,a0f446e1bf,means famous congrats,2,44,8
415,db0db7f325,phone passed away yesterday jumped table searching new phone,0,86,15
416,123fa2ef14,fantastic friends including several ones met thanks life amazing people,2,130,23
417,8ebbcfcfd1,tamlyn wishes cool sock draw,2,45,10
418,47c5298bb9,rice crusty bread chili aawww,1,53,11
419,38c25280f1,like minds evening dear,1,46,10
420,f83634c7f2,come save packing please,1,41,8
421,301f7824f5,yes love tea makes typically english,2,65,14
422,715e081e22,mouth sure,2,17,4
423,5459ddc56e,dec0de finally hour history pm went highschool make homework friend,1,135,28
424,e8f99c2de0,pancakes lemon sugar thanks,2,40,6
425,b53d8f2b09,si bueno guess entertain,0,52,11
426,71dddc0dff,hunrgy right heels kill hardly walk,0,73,16
427,ca57a8830c,electronic keys stopped working keyhole cant get car much technology,0,101,18
428,0f0a1d8c75,yay three followers good know one person big wide world likes fishies,2,94,17
429,187745f502,name tony hey poor tony,0,51,9
430,a78ef3e0d0,goodmorning,2,11,1
431,5010f92b03,took shift tomorrow really feel like working right,0,69,12
432,1a88179ebb,love mine happy motheri 12 day mom john taylor much love,2,93,21
433,625feab260,saw black snake garden went back picture gone,1,73,16
434,45b0430eb9,http twitpic com 4wukt bought ludi rug dogs best,2,72,12
435,86462cc997,waterfront anymore faccia luna clarendon,0,65,11
436,b499204c32,loves mum much happy mothers day wonderful mothers,2,81,15
437,60d0bb5840,slipped caught flu feeling like poop,0,49,9
438,a52203dd88,urge play wow wait weeks til im dads 47days til mcfly im excited l,2,111,26
439,e8770f1c78,ok passengers one alive dead know til end cry,0,122,27
440,4016e4cf72,discovered sharing g reader even know sigh g reader newb,1,108,21
441,4dc7327dd8,chilled tonite cannot spew venom write funny seems like styles,1,106,21
442,f5c5fbc40b,u please pray lord knows need,1,50,12
443,124e448e00,aaaaaw want live usa,1,32,8
444,641db1b766,morning tweeple,2,15,2
445,7286b251ca,hey get,1,26,6
